"ilad";"ilcead";"mahallead";"tapuzeminref";"adano";"parselno";"tapualan";"kadastroalan";"tapucinsaciklama";"HazineParselDurumAciklama";"geom"
ARDAHAN;ÇILDIR;AĞILLI;35094839;"102";"36";11224.76;11224.7642499747;HAM TOPRAK;HazineTam;POLYGON ((43.036059720535 41.273346693128, 43.036648009699 41.272638993902, 43.036911058403 41.272639506097, 43.037610064133 41.273256915728, 43.03823371727 41.272447234361, 43.038706540074 41.272573437201, 43.038301979957 41.2731549644, 43.03794922216 41.273383155841, 43.038140314682 41.27363273468, 43.037097862492 41.273168970074, 43.037032920945 41.273318751613, 43.036553085099 41.273262386169, 43.036465888009 41.273476566395, 43.03635451785 41.273596151919, 43.036059720535 41.273346693128))
ARDAHAN;ÇILDIR;AĞILLI;35094863;"102";"60";1156435.16;1156435.15678121;HALİ ARAZİ;HazineTam;POLYGON ((43.045388427007 41.271220985699, 43.044692986832 41.271434454044, 43.044031290114 41.271498437052, 43.043394373487 41.271583360264, 43.042608555174 41.271745222703, 43.042001273623 41.272187709906, 43.041128794423 41.272527875116, 43.040983226314 41.272394851682, 43.041143564607 41.271872609548, 43.041617441488 41.27116411883, 43.039531063269 41.271224126347, 43.039176268832 41.270954237852, 43.038532932366 41.271198109648, 43.03798422844 41.271381518036, 43.037174479314 41.271434556847, 43.036376854577 41.271597780005, 43.035707345974 41.271598853259, 43.034757643175 41.271458107149, 43.034136573301 41.271579119554, 43.032777754659 41.271566737202, 43.032614105812 41.272004269789, 43.032015875705 41.272159011029, 43.031858489148 41.272335279869, 43.031837248566 41.272600728571, 43.031722027992 41.272908257966, 43.031950848596 41.273145173532, 43.031762923912 41.273352869861, 43.030739709301 41.273160526235, 43.030631550791 41.273029675829, 43.030469561772 41.272549411122, 43.029803637633 41.272558971788, 43.029230543727 41.271989730801, 43.028756477512 41.271927338557, 43.027714471163 41.271447997672, 43.022371341315 41.269623457913, 43.024703128351 41.268133539138, 43.021673796383 41.266278712104, 43.02095979114 41.266744612174, 43.020391721523 41.266535803058, 43.020481860326 41.266109203504, 43.020394345103 41.265799880442, 43.020247487215 41.265404014246, 43.020151186701 41.265097470024, 43.02120058171 41.264850999838, 43.021097793456 41.264465278457, 43.021814991746 41.264917670298, 43.022807989592 41.264743628246, 43.023487284949 41.264311520236, 43.023481623579 41.26412473691, 43.021717267854 41.264321210183, 43.021754949266 41.264235247405, 43.021662020531 41.264007549802, 43.020851634274 41.264030045647, 43.020780839944 41.263867160156, 43.02231369734 41.263885702617, 43.022288077359 41.263689101969, 43.022377506738 41.263462846812, 43.023320155147 41.263581248281, 43.024585075526 41.263521285671, 43.024353878754 41.262670300988, 43.026632914452 41.262363941617, 43.026691346716 41.262506224487, 43.027394468933 41.262424948145, 43.027460111409 41.262775879747, 43.028680554266 41.262947312577, 43.028957719204 41.262975359297, 43.02936708894 41.262721477613, 43.030023521957 41.263298887394, 43.029804523696 41.263479396535, 43.029589541759 41.263444673009, 43.029132281336 41.26378749321, 43.028818384308 41.264285610547, 43.028654719464 41.265559072201, 43.028399481919 41.26584921133, 43.028710134104 41.266268904739, 43.029497326539 41.266454824047, 43.029868419661 41.26614086595, 43.030335152282 41.26577733893, 43.031444079653 41.265501339691, 43.031860693015 41.265267553349, 43.032283327577 41.264666167106, 43.033988999808 41.264578827671, 43.034227506289 41.264289006554, 43.035655437798 41.264191351554, 43.035649646255 41.263688888876, 43.036483918169 41.263426370016, 43.036932439851 41.263284066836, 43.037395382382 41.263228606335, 43.03838877498 41.262966672795, 43.038538531805 41.262966582474, 43.038660559684 41.26296368077, 43.038928487595 41.263071202329, 43.039005789061 41.263220241669, 43.039156178661 41.263756784838, 43.039153639374 41.264093378261, 43.039121802761 41.264561604847, 43.039053916527 41.264765708558, 43.038880484651 41.26500398959, 43.038654703717 41.265274887042, 43.038282122045 41.265160475331, 43.037926250758 41.265611364495, 43.037878950231 41.265736676759, 43.038184374469 41.265943086257, 43.038391723683 41.266037559201, 43.038504244614 41.26611965134, 43.038539039144 41.266251966713, 43.03847653158 41.266245957659, 43.038372300963 41.266174955708, 43.038236814073 41.266157269251, 43.038057501074 41.266333564327, 43.037728581715 41.266113049906, 43.037634279909 41.266020888365, 43.037457756169 41.265883457187, 43.037495005809 41.265500090301, 43.037657530152 41.265378961997, 43.037881685694 41.265487420707, 43.038162979837 41.265059534215, 43.037950860284 41.265017777391, 43.037792804667 41.265089433731, 43.037362244509 41.265021192087, 43.037330361782 41.264997258551, 43.03718935476 41.264675824766, 43.037050330409 41.264792915934, 43.03668250599 41.264937094891, 43.036474168939 41.264779779626, 43.035119104432 41.264731734776, 43.033843575105 41.265141264695, 43.033651899357 41.265313612173, 43.032570351425 41.265576961528, 43.031713032545 41.266310822688, 43.030911812751 41.267054169533, 43.030989372341 41.267539061981, 43.031091175252 41.267676091857, 43.031285144395 41.26791404148, 43.032197415104 41.267712549051, 43.033160084502 41.26751383855, 43.034260079018 41.267464703717, 43.035571126969 41.26693644682, 43.035782669018 41.266767699141, 43.036188607261 41.266546058641, 43.036983147414 41.266991176388, 43.037124492361 41.266768134016, 43.037330138063 41.266634282188, 43.037822016505 41.266881421298, 43.037847570588 41.266829687914, 43.038093449978 41.266930567024, 43.038283851254 41.26703977948, 43.038535319754 41.267071546382, 43.038223570853 41.267287393497, 43.038614314124 41.267402451833, 43.038844878139 41.267500586206, 43.039170800132 41.26763675674, 43.03935003435 41.267726349407, 43.039516090758 41.267624635314, 43.039838948089 41.267890939711, 43.04011827429 41.268113696885, 43.039940998511 41.268215333111, 43.039622951926 41.268199747527, 43.039672783862 41.268407110262, 43.039882808305 41.268616897776, 43.039931553748 41.268688039394, 43.040151366567 41.268875317973, 43.039872760401 41.269021539094, 43.03955367718 41.269256814643, 43.039461737857 41.269201189647, 43.039599413481 41.269138268906, 43.038866044795 41.268384139788, 43.038593076316 41.268193376529, 43.038213595284 41.26833753236, 43.038056931141 41.26884407064, 43.038553565095 41.269194259608, 43.03892149409 41.269518055708, 43.0395364399 41.269734993598, 43.040191653652 41.269924732366, 43.04043573591 41.26959577085, 43.040564507164 41.269543284055, 43.040660076432 41.269436622958, 43.04065392647 41.269319896447, 43.040686939839 41.269226946666, 43.040853480221 41.269268300129, 43.041209785179 41.269152707895, 43.041334173304 41.269004727255, 43.041312122057 41.269126571001, 43.041372829297 41.269139257762, 43.041536864634 41.269173159563, 43.042108614623 41.268977370203, 43.042190706087 41.268908916834, 43.042378235484 41.268956831087, 43.043128871801 41.269263371586, 43.044386882942 41.269775098804, 43.044715211879 41.269993438342, 43.045092567647 41.27038979142, 43.045367186817 41.270599972795, 43.046142521279 41.27102368151, 43.045388427007 41.271220985699))
ARDAHAN;ÇILDIR;AĞILLI;35094810;"102";"7";3036.56;3036.55800002586;HAM TOPRAK;HazineTam;POLYGON ((43.029686288028 41.274501107104, 43.029771527334 41.273986215424, 43.030936554522 41.274604267997, 43.029686288028 41.274501107104))
ARDAHAN;ÇILDIR;AĞILLI;35094812;"102";"9";13425.94;13425.9395499728;HAM TOPRAK;HazineTam;POLYGON ((43.033265265812 41.27408609784, 43.033427736816 41.273944627014, 43.034104606032 41.274015172779, 43.034514419171 41.274134035272, 43.035040379362 41.274284266498, 43.030936554522 41.274604267997, 43.031985830385 41.2738961549, 43.033265265812 41.27408609784))
ARDAHAN;ÇILDIR;AKÇAKALE;35122712;"102";"138";5712.38;5712.3825750161;HAM TOPRAK;HazineTam;POLYGON ((43.320965527193 41.095467402903, 43.320874168902 41.095650010224, 43.320454160354 41.095601484519, 43.320155463492 41.095654691782, 43.319228758432 41.095321871015, 43.319248518886 41.095291066612, 43.319310024632 41.095168851157, 43.319350056883 41.094884779743, 43.320250484564 41.095254286523, 43.320965527193 41.095467402903))
ARDAHAN;ÇILDIR;AKÇAKALE;35122769;"102";"196";10347.9;10347.897811382;HAREBE KALE YERİ;HazineTam;POLYGON ((43.285476219341 41.097284453523, 43.285341539121 41.097506027197, 43.285030936349 41.097946923849, 43.284716697884 41.098216719574, 43.284684597127 41.098217401674, 43.28462089487 41.09823766904, 43.284337805489 41.098211902474, 43.283722968342 41.098212273163, 43.28364397572 41.098169248243, 43.283688527109 41.098111728408, 43.28380247174 41.097972280676, 43.283960117265 41.097797085447, 43.284403868481 41.097321860026, 43.284655073939 41.097184320623, 43.285476219341 41.097284453523))
ARDAHAN;ÇILDIR;AKÇAKALE;35122785;"102";"213";2200.0;2200.00140549701;DEMİRYOLU;HazineTam;POLYGON ((43.305089283518 41.092625186179, 43.304999211952 41.091827878896, 43.305291034716 41.091797416293, 43.305392358103 41.092551492892, 43.305089283518 41.092625186179))
ARDAHAN;ÇILDIR;AKÇAKALE;121200805;"102";"222";3440.8;3440.80426126229;DEMİRYOLU;HazineTam;POLYGON ((43.301425273046 41.094624592041, 43.301340801158 41.094669168798, 43.300998873573 41.094459286902, 43.301342531256 41.094068900959, 43.301686160959 41.09392301799, 43.301889442745 41.094207501176, 43.301974697318 41.094262816831, 43.301425273046 41.094624592041))
ARDAHAN;ÇILDIR;AKÇAKALE;121291296;"102";"224";121.71;121.709617751731;Demiryolu;HazineTam;POLYGON ((43.300998873573 41.094459286902, 43.300922159686 41.094406106246, 43.300986008206 41.09438248667, 43.301227214833 41.094199897954, 43.300998873573 41.094459286902))
ARDAHAN;ÇILDIR;AKÇAKALE;121368494;"102";"226";147.12;147.116065471106;DEMİRYOLU;HazineTam;POLYGON ((43.299081838399 41.094305832439, 43.298935697941 41.094354312211, 43.299101603532 41.094083553804, 43.299081838399 41.094305832439))
