"ilad";"ilcead";"mahallead";"tapuzeminref";"adano";"parselno";"tapualan";"kadastroalan";"tapucinsaciklama";"HazineParselDurumAciklama";"geom"
AĞRI;DİYADİN;YUKARI DALÖREN;31810345;"107";"10";3502.26;3502.2593315413;Ham Toprak;HazineTam;POLYGON ((43.631588847968 39.413007444245, 43.631645193528 39.413223148902, 43.631498150417 39.413356815308, 43.631053277342 39.413220678287, 43.630825454381 39.412743654732, 43.631324566282 39.412723256523, 43.631677999105 39.412823236105, 43.631588847968 39.413007444245))
AĞRI;DİYADİN;YUKARI DALÖREN;31810356;"107";"15";5210.93;5210.93009503364;Ham Toprak;HazineTam;POLYGON ((43.632893085755 39.411996963934, 43.632919935414 39.412228515233, 43.63292546574 39.412289431852, 43.632951666452 39.412578031841, 43.632997122024 39.413078718713, 43.632597484257 39.412664445698, 43.632632154439 39.412416622093, 43.632312574151 39.4116247053, 43.632668556311 39.411328312853, 43.632893085755 39.411996963934))
AĞRI;DİYADİN;YUKARI DALÖREN;31810353;"107";"19";2070.91;2070.90646021194;Ham Toprak;HazineTam;POLYGON ((43.629763920057 39.409169967675, 43.628713358985 39.408547047032, 43.628755856349 39.408377935486, 43.628883154202 39.40825091171, 43.629763920057 39.409169967675))
AĞRI;DİYADİN;YUKARI DALÖREN;31810358;"107";"21";2307.57;2307.57265676076;Ham Toprak;HazineTam;POLYGON ((43.629598823006 39.4096917302, 43.629265235228 39.40986291511, 43.629261181604 39.409774656587, 43.628983958334 39.409353239381, 43.629763920057 39.409169967675, 43.62948062195 39.409522490333, 43.629598823006 39.4096917302))
AĞRI;DİYADİN;YUKARI DALÖREN;31810364;"107";"31";978.97;978.97159048805;Ham Toprak;HazineTam;POLYGON ((43.629411247203 39.412733916309, 43.629574630715 39.412956566326, 43.629440951739 39.41293353751, 43.629270942439 39.41280615317, 43.629103956193 39.41278350602, 43.628988537793 39.412630870668, 43.629161786667 39.412483141744, 43.629287047315 39.4126075221, 43.629411247203 39.412733916309))
AĞRI;DİYADİN;YUKARI DALÖREN;31810446;"108";"100";1458.12;1458.12388019479;Ham Toprak;HazineTam;POLYGON ((43.627162440615 39.412089344754, 43.626431799161 39.412153600418, 43.626191695978 39.412121205128, 43.626263033935 39.412076195047, 43.62651203043 39.412031697727, 43.626536946869 39.412007457948, 43.626910749544 39.411982978019, 43.627668740565 39.411996462808, 43.627662601477 39.412078026264, 43.627162440615 39.412089344754))
AĞRI;DİYADİN;YUKARI DALÖREN;31810449;"108";"101";394.29;394.286674523194;Ham Toprak;HazineTam;POLYGON ((43.627727437374 39.409551041354, 43.627766495432 39.40951251252, 43.628344926731 39.409565773061, 43.628507302105 39.409536542859, 43.628646549984 39.40961039964, 43.628324148839 39.409604634746, 43.628040537561 39.409587644913, 43.627727437374 39.409551041354))
AĞRI;DİYADİN;YUKARI DALÖREN;31810450;"108";"102";1609.37;1609.36836440231;Ham Toprak;HazineTam;POLYGON ((43.624863167653 39.410814877686, 43.624813778087 39.411152798079, 43.624728892048 39.411199502454, 43.62444141062 39.411333075525, 43.624474905434 39.411576586936, 43.62445915805 39.411608653365, 43.624303920873 39.411625271984, 43.62389142287 39.411770109354, 43.623792864902 39.41186488165, 43.623507821875 39.411923240051, 43.6232199026 39.412015644695, 43.622995759757 39.412052629465, 43.622724043557 39.41201879811, 43.6227452297 39.411979051531, 43.623035210137 39.411961904628, 43.623304080793 39.411897006321, 43.623500480295 39.411853757284, 43.62376329955 39.411787156101, 43.623896345819 39.411734087137, 43.624309406519 39.41159841612, 43.624417033751 39.411581504656, 43.624327650816 39.41141509529, 43.624351878751 39.411299493835, 43.624753188422 39.411145380811, 43.624796381801 39.410956194345, 43.624863167653 39.410814877686))
AĞRI;DİYADİN;YUKARI DALÖREN;31810395;"108";"30";5848.78;5848.78418416193;Ham Toprak;HazineTam;POLYGON ((43.628291154704 39.414010431385, 43.62802444371 39.414152733389, 43.628185798017 39.414618044309, 43.628530913954 39.414960771416, 43.628701193011 39.41527015652, 43.628582959184 39.415253823779, 43.628259047877 39.415044839484, 43.627809068761 39.414757922351, 43.627502983021 39.414720085874, 43.627590422214 39.414556341809, 43.627754622161 39.414365384683, 43.627797845152 39.414217618887, 43.627793321451 39.414171190515, 43.627851253607 39.413982068769, 43.627831518841 39.413879403846, 43.627753642529 39.413595776795, 43.628076041363 39.413735273417, 43.628034633795 39.413747241145, 43.628057918998 39.413766506546, 43.62814678932 39.413918230419, 43.628312487651 39.413905999197, 43.628291154704 39.414010431385))
AĞRI;DİYADİN;YUKARI DALÖREN;31810401;"108";"44";3277.06;3277.06115517561;Ham Toprak;HazineTam;POLYGON ((43.628382448797 39.409296917841, 43.628138235228 39.409358588221, 43.627779703634 39.409349279408, 43.627472911344 39.409330915919, 43.627486201627 39.40920201701, 43.627260688827 39.408979081135, 43.627002106172 39.408938129353, 43.626721899998 39.408952492498, 43.626312982498 39.409225950277, 43.626227002982 39.40920076111, 43.626331036495 39.409106447623, 43.626703334293 39.408715228308, 43.626985917102 39.408781493421, 43.626966687749 39.408827209163, 43.627278573339 39.408946282968, 43.627425309498 39.409075097853, 43.627718154637 39.409220299148, 43.62791668227 39.409268160548, 43.628006441431 39.409080413707, 43.628286288803 39.409112220136, 43.628490581868 39.409060787603, 43.628382448797 39.409296917841))
